cycle,EPS1_median,EPS1_std,EPS1_max
0,2479.8,185.61612099536987,2951.6
1,2470.0,189.94008895356612,2947.4
2,2457.4,190.73684957806262,2939.8
3,2448.0,191.27060661313834,2929.6
4,2440.6,191.25836911634178,2923.8
5,2437.8,191.5185712942411,2920.6
6,2431.6,193.34185518544888,2921.6
7,2425.8,192.12302669352226,2913.0
8,2421.6,193.52966557706847,2909.4
9,2417.4,192.79525118407025,2905.4
10,2415.8,192.9801941302382,2905.4
11,2407.8,193.74692157562143,2899.4
12,2403.8,192.6308516726788,2891.4
13,2401.6,192.51347156695644,2887.6
14,2397.8,193.85837497035453,2888.6
15,2395.6,193.27550053567776,2885.6
16,2394.0,193.32443154818512,2885.4
17,2391.8,193.932853998978,2885.8
18,2388.0,193.96646268032956,2881.4
19,2383.4,195.1657002864923,2881.4
20,2379.8,193.28400743445005,2875.6
21,2377.6,193.21885360541665,2869.4
22,2374.4,193.9906329478443,2867.4
23,2373.6,193.01604175558754,2865.4
24,2372.8,192.90347189321648,2867.8
25,2368.0,193.75465917829922,2867.8
26,2367.6,193.71330903725206,2863.8
27,2367.8,193.6267687209763,2865.4
28,2363.6,194.18855577447303,2861.6
29,2361.6,195.5066973426994,2861.6
30,2361.4,195.44520431835633,2863.8
31,2359.8,195.8682243666261,2861.4
32,2359.8,195.82091541393413,2861.6
33,2359.0,195.49750403382112,2857.6
34,2357.0,196.2070525535511,2861.4
35,2355.8,195.49404097914413,2855.6
36,2357.2,195.3724904825441,2855.6
37,2358.0,195.42376663592697,2856.6
38,2359.6,196.14140835702594,2859.4
39,2355.8,196.71375141295835,2861.6
40,2360.4,194.59312229436478,2859.8
41,2356.0,196.60932761621697,2859.8
42,2357.4,196.28590720011746,2859.8
43,2354.4,197.13083931782612,2861.0
44,2353.6,196.35190294503988,2857.8
45,2355.6,195.82994888799774,2853.6
46,2358.0,196.13585969944123,2861.0
47,2351.8,198.06617869244914,2862.2
48,2353.4,196.12087331941703,2853.4
49,2351.8,197.1200547416647,2855.6
50,2353.0,196.664303450764,2855.8
51,2351.6,196.21373473118987,2851.4
52,2352.0,196.3212186793186,2853.4
53,2351.8,196.54634234576113,2851.8
54,2353.6,195.8892419859409,2851.8
55,2351.2,196.5994240821688,2855.8
56,2349.2,196.2650961364309,2851.6
57,2347.6,196.3427505208156,2849.6
58,2346.0,197.42002961840348,2849.6
59,2347.8,196.940321651193,2853.0
60,2347.6,197.0722592126995,2849.6
61,2347.6,196.33166924264535,2848.6
62,2347.6,196.7025060778716,2847.6
63,2344.0,197.3914250046671,2849.4
64,2344.4,197.0721992055787,2847.6
65,2345.6,196.8885107406057,2845.6
66,2345.6,196.63164917003033,2845.8
67,2345.6,197.48698186125443,2851.0
68,2345.6,196.8133345899805,2849.4
69,2345.2,196.3898940509352,2847.4
70,2343.6,196.65210301985732,2847.6
71,2341.8,196.87564765929505,2845.6
72,2345.4,196.00602194380474,2845.8
73,2344.0,197.32208577385498,2849.4
74,2344.0,196.81252220822202,2849.4
75,2345.4,197.03955716771225,2849.0
76,2344.6,196.8108654102617,2849.4
77,2341.6,197.7679189163508,2849.4
78,2343.2,196.7867057515293,2845.6
79,2341.8,197.25817572806494,2843.8
80,2342.0,196.6844008977735,2845.4
81,2342.8,196.8955212568857,2851.8
82,2343.3,196.4677823728573,2843.4
83,2343.4,197.03321425291566,2848.2
84,2343.6,197.2493060956342,2845.6
85,2343.4,197.11890304393998,2850.0
86,2343.4,196.93878584165103,2847.8
87,2345.8,197.809518275627,2851.0
88,2343.0,197.0567242945387,2849.8
89,2346.0,196.74185314951873,2850.8
90,2346.8,197.8990918992617,2851.2
91,2346.0,198.73557003700137,2853.0
92,2348.0,197.47509356935518,2851.0
93,2348.2,197.49364625420407,2851.2
94,2350.0,197.13896381188664,2851.2
95,2349.8,197.9583624875915,2853.2
96,2349.8,198.21090076510063,2855.2
97,2346.0,199.4276850779955,2855.0
98,2346.4,197.88820267748497,2851.0
99,2343.8,197.55683479903075,2851.0
100,2341.4,198.26937944385932,2849.0
101,2340.2,197.93111813829782,2845.4
102,2340.0,197.61392810073417,2843.6
103,2339.8,197.5085971599093,2843.6
104,2340.0,198.15920941574407,2845.6
105,2339.0,197.80232282323666,2843.6
106,2338.0,198.25540756374014,2845.0
107,2337.6,198.6122230583204,2843.4
108,2337.4,198.24456351918155,2841.6
109,2337.6,198.05932411116993,2841.8
110,2339.8,197.7933837177556,2843.4
111,2339.6,199.252977721758,2849.4
112,2341.6,197.19658676327893,2842.6
113,2342.0,198.20638018288685,2847.4
114,2340.8,197.6656051127079,2843.6
115,2341.6,198.13337236677165,2847.6
116,2341.8,198.31928812613268,2849.6
117,2339.8,199.21518808545414,2851.4
