cycle,FS1_median,FS1_std,FS1_max,FS2_median,FS2_std,FS2_max
0,7.836,3.015427901612756,18.71,10.327,0.09177151854787625,10.446
1,7.853,3.0062481343890304,18.712,10.403,0.019161870804023092,10.453
2,7.8469999999999995,3.014248300027873,18.698,10.367,0.026361190297921,10.443
3,7.843,3.020175558326622,18.896,10.302,0.026749656148487736,10.382
4,7.831,3.01155025329881,18.876,10.236,0.0291704592494079,10.312
5,7.8395,3.0048574769668686,18.96,10.177,0.022447154041011573,10.256
6,7.817,3.0125156977745005,19.208,10.141,0.017606643343248598,10.2
7,7.802,3.0047145452526727,19.333,10.096,0.018820774864487425,10.156
8,7.792,3.0138335806328356,19.577,10.038,0.01930717945819768,10.098
9,7.8,3.0106461327752654,19.432,9.996,0.015677089944803234,10.053
10,7.7965,3.0071833040189793,19.415,9.964,0.02077101747495556,10.029
11,7.795,3.005156640956235,19.707,9.931,0.014950150519525994,9.978
12,7.7915,3.00796161929095,19.628,9.914,0.01776677571821232,9.971
13,7.776999999999999,3.011885786660324,20.121,9.891,0.019165575880504732,9.988
14,7.781,3.0239001828900305,20.479,9.856,0.017346810954929605,9.92
15,7.781000000000001,3.0222046551305954,20.479,9.8345,0.016355003539901995,9.884
16,7.77,2.9982746805505673,19.561,9.799,0.019999485177013342,9.857
17,7.759,3.0087115563317512,19.757,9.779499999999999,0.016868507716678593,9.834
18,7.772,3.0186457769019372,20.343,9.761,0.01680751746375345,9.81
19,7.7684999999999995,3.00327222737459,19.874,9.741,0.015468761401574122,9.794
20,7.764,3.021041536996045,20.479,9.696,0.029994421249053414,9.769
21,7.7669999999999995,2.9992769750130828,19.801,9.657,0.016149013160048045,9.708
22,7.762,3.0234938924573282,20.479,9.632,0.01703007054379887,9.686
23,7.7595,3.0124419520754877,19.905,9.617,0.018019132538812932,9.666
24,7.758,3.024228479683518,20.479,9.606,0.01866016233368353,9.662
25,7.75,3.0189493644008607,20.318,9.596,0.01949276965964291,9.644
26,7.739,3.0053233884857584,20.479,9.573,0.01792519514635917,9.632
27,7.743,3.030619161123066,20.463,9.554,0.019211571070422085,9.611
28,7.741,3.0148965996217325,20.479,9.538,0.01872978041669011,9.606
29,7.755,3.0192430585915218,20.479,9.531,0.01778716562554416,9.586
30,7.749499999999999,3.002399130495144,20.46,9.5215,0.017415666499493852,9.568
31,7.753,3.003481459231737,20.253,9.504,0.019223379790008804,9.582
32,7.751,3.01966701942077,20.479,9.494,0.019660198444922006,9.569
33,7.752,3.010008636735456,20.479,9.486,0.018041982821439137,9.548
34,7.741,3.0241645909646344,20.479,9.474,0.018687884757989038,9.539
35,7.7445,3.0033472645115986,20.479,9.466,0.017294699571767186,9.525
36,7.751,2.997642122148064,20.423,9.462,0.017435086379532717,9.512
37,7.741,3.0121807959906914,20.479,9.451,0.01737070881580527,9.514
38,7.748,3.0191875385545814,20.479,9.443,0.016172751925426988,9.494
39,7.749,3.0101112556320393,20.479,9.439,0.017237384796228345,9.494
40,7.7524999999999995,3.006598200384139,20.479,9.441,0.01606510647573787,9.501
41,7.749499999999999,3.001509821786996,20.479,9.432,0.01706347368247186,9.485
42,7.748,2.986500933127234,20.347,9.424,0.017168265994622324,9.47
43,7.749499999999999,2.9929587430154925,20.479,9.419,0.01620720862995383,9.477
44,7.751,2.9955189861793454,20.479,9.414,0.017016950860339095,9.466
45,7.754,2.9906462998221564,20.479,9.406,0.01717775444098989,9.461
46,7.764,3.013165565255152,20.479,9.405,0.016193314297433002,9.45
47,7.756,3.0165060934788435,20.479,9.402000000000001,0.017318454858523073,9.466
48,7.7615,2.9938550631820116,20.479,9.3955,0.016635031189029665,9.445
49,7.758,2.9917360167613722,20.479,9.394,0.016434348488433767,9.449
50,7.759,2.9907108710846724,20.479,9.391,0.016383761658324815,9.435
51,7.756,2.9899267703622017,20.479,9.383,0.016190955312935133,9.425
52,7.7605,2.9845171712832337,20.479,9.382,0.015120603547531546,9.446
53,7.756,2.9891892857273303,20.479,9.379,0.015059589944762577,9.431
54,7.759,2.9889676626335953,20.479,9.374,0.015845195392559186,9.426
55,7.756,2.9993139276257224,20.479,9.365,0.01700999869630513,9.416
56,7.756,3.0086698474550135,20.479,9.358,0.016791756728991514,9.408
57,7.756,2.987686171062564,20.479,9.354,0.01606925191114579,9.406
