cycle,VS1_std,VS1_max,PS1_std,PS1_max,PS1_median,PS2_std,PS2_max,PS2_median,PS3_std,PS3_max,PS3_median,PS5_mean,PS5_max,PS6_mean,PS6_max
0,0.02707830766061112,0.624,13.93930855334731,191.51,156.25,47.114507712259,156.99,129.365,0.9457048337952314,10.039,2.297,9.842169500000013,10.016,9.72809749999997,9.887
1,0.02724081247699449,0.626,14.118967490038504,191.47,156.06,47.04561102371902,157.56,129.385,0.9419670261749908,9.992,2.273,9.635142166666707,9.745,9.529487833333397,9.637
2,0.03672918142787259,0.662,14.19261854410441,191.41,155.72,46.992060267562614,156.97,129.325,0.943500834902427,10.914,2.273,9.5305478333333,9.64,9.427948833333366,9.536
3,0.033463801169331675,0.645,14.227802960812765,191.34,155.56,46.97222148961298,156.44,128.865,0.9355342055075784,10.297,2.242,9.438826666666722,9.535,9.337429500000049,9.431
4,0.0334835991558461,0.66,14.27643404667445,191.41,155.34,46.874946219750896,158.13,129.0,0.9303354813375868,11.102,2.219,9.358761999999949,9.443,9.260636166666663,9.342
5,0.03073147322091283,0.643,14.276070682144542,191.28,155.23,46.84425876169337,156.55,128.93,0.9326029533539539,11.453,2.211,9.301159666666644,9.381,9.206877000000002,9.287
6,0.03288808277629701,0.649,14.371118645959022,191.19,154.97,46.7893887096043,155.04,128.675,0.9157996183063395,10.312,2.172,9.233941833333331,9.302,9.14332016666673,9.208
7,0.03794911847751326,0.669,14.387503982431117,191.17,154.91,46.806641202471624,159.09,128.72,0.917559658144189,10.398,2.164,9.194159166666767,9.26,9.105058166666646,9.172
8,0.032561736235444595,0.65,14.430290295924257,191.14,154.77,46.76966521659664,167.22,128.77,0.9143539161801051,10.789,2.141,9.144616166666712,9.206,9.057066833333351,9.119
9,0.03181434047543662,0.653,14.415517657887966,191.16,154.77,46.75187690994249,162.14,128.49,0.9115543885159895,10.758,2.117,9.104831499999985,9.173,9.019264666666755,9.087
10,0.03566857801520994,0.657,14.451743765503393,191.16,154.63,46.678058721866364,160.94,128.415,0.9124761453667217,10.617,2.102,9.068216833333352,9.148,8.983758166666627,9.08
11,0.034495307959002776,0.662,14.465964420260992,191.06,154.52,46.67567363443506,164.73,128.29000000000002,0.9086818297727661,10.617,2.102,9.02303366666663,9.087,8.940413000000051,9.009
12,0.03512465292266748,0.681,14.464266533278536,191.08,154.34,46.65072547687663,163.84,128.28500000000003,0.9029524337543532,10.398,2.078,8.981116666666612,9.048,8.901620500000035,8.969
13,0.03840743513235853,0.671,14.476303591177592,191.0,154.29,46.628571720529806,166.67,128.07999999999998,0.9039088327764746,10.617,2.062,8.948214499999999,9.008,8.870686666666625,8.936
14,0.03346765028828897,0.671,14.530456664672869,190.94,154.23,46.58815406428451,166.99,128.2,0.9072894500842177,11.055,2.062,8.915401333333387,8.981,8.840755500000006,8.904
15,0.03514857890256811,0.675,14.554577754484505,190.98,154.06,46.52856746114722,167.12,127.94,0.9046690735227522,11.242,2.062,8.890655333333408,8.951,8.816202000000006,8.88
16,0.031460332839512065,0.666,14.526439886091312,190.9,154.04,46.52713113174875,159.95,127.85,0.9016438222252261,10.609,2.055,8.889613166666704,8.951,8.81341233333336,8.877
17,0.04309008760396658,0.696,14.51128815776186,190.89,153.94,46.51865414250025,162.94,127.715,0.8996123286369587,10.406,2.047,8.861766499999906,8.922,8.786334666666722,8.845
18,0.030539055294902064,0.688,14.587743973003533,190.9,153.85,46.48517889784531,166.52,127.81,0.8994386736178788,10.969,2.055,8.836582499999968,8.913,8.76294916666669,8.839
19,0.03705690767967102,0.715,14.590948388315121,190.8,153.77,46.43967914544024,157.73,127.655,0.9016864609228685,10.727,2.062,8.815813666666632,8.871,8.744519499999964,8.801
20,0.03752995037488383,0.706,14.55944959421593,190.82,153.73,46.45350781058416,166.47,127.78,0.9024232863264184,11.008,2.062,8.819560499999954,8.916,8.75107483333339,8.851
21,0.029548753164208512,0.712,14.533623365745553,190.89,153.755,46.43367296852217,160.49,127.66,0.9029478326372459,10.992,2.055,8.829950666666585,8.898,8.760344500000038,8.825
22,0.04110254504333701,0.723,14.57453206185368,190.85,153.69,46.396564034542976,166.6,127.65,0.9023635764683001,10.883,2.047,8.833388333333271,8.896,8.763845666666684,8.828
23,0.026882649351546297,0.691,14.524258742595698,190.8,153.67,46.418228578932876,160.16,127.53999999999999,0.9030801102712688,11.062,2.047,8.825094499999933,8.889,8.754625499999971,8.818
