cycle,VS1_std,VS1_max,PS1_std,PS1_max,PS1_median,PS2_std,PS2_max,PS2_median,PS3_std,PS3_max,PS3_median,PS5_mean,PS5_max,PS6_mean,PS6_max,FS1_median,FS1_std,FS1_max,FS2_median,FS2_std,FS2_max,TS1_mean,TS1_max,TS1_std,TS2_mean,TS2_max,TS2_std,TS3_mean,TS3_max,TS3_std,TS4_mean,TS4_max,TS4_std,EPS1_median,EPS1_std,EPS1_max,CE_value,CE_diff,CP,CP_delta,SE,SE_delta,valve_optimal
0,0.0270783076606111,0.624,13.93930855334731,191.51,156.25,47.114507712259,156.99,129.365,0.9457048337952314,10.039,2.297,9.842169500000011,10.016,9.72809749999997,9.887,7.836,3.015427901612756,18.71,10.327,0.0917715185478762,10.446,35.62198333333334,36.152,0.3082298554412129,40.97876666666664,41.25,0.154301747814246,38.47101666666666,38.613,0.084658935209076,31.74525000000001,33.594,1.1164783712145214,2479.8,185.61612099536987,2951.6,47.202,0.0,2.184,0.0,68.039,,1
1,0.0272408124769944,0.626,14.118967490038504,191.47,156.06,47.04561102371902,157.56,129.385,0.9419670261749908,9.992,2.273,9.635142166666707,9.745,9.529487833333397,9.637,7.853,3.0062481343890304,18.712,10.403,0.019161870804023,10.453,36.676966666666665,37.488,0.5857401797658159,41.53276666666667,42.105,0.338234467200284,38.97896666666667,39.254,0.1769205477777774,34.49386666666666,35.148,0.4353124911735835,2470.0,189.9400889535661,2947.4,29.208,-17.994,1.414,-0.7700000000000002,68.264,0.2249999999999943,1
2,0.0367291814278725,0.662,14.19261854410441,191.41,155.72,46.99206026756261,156.97,129.325,0.943500834902427,10.914,2.273,9.5305478333333,9.64,9.427948833333366,9.536,7.846999999999999,3.014248300027873,18.698,10.367,0.026361190297921,10.443,37.88080000000001,38.621,0.559169080884261,42.44245000000001,43.039,0.3905882319644982,39.63194999999999,40.062,0.2511332568814099,35.64615,36.141,0.2938892230479515,2457.4,190.73684957806265,2939.8,23.554,-5.654,1.159,-0.2549999999999999,68.595,0.331000000000003,1
3,0.0334638011693316,0.645,14.227802960812763,191.34,155.56,46.97222148961298,156.44,128.865,0.9355342055075784,10.297,2.242,9.438826666666722,9.535,9.337429500000049,9.431,7.843,3.020175558326622,18.896,10.302,0.0267496561484877,10.382,38.87904999999999,39.473,0.5161757493696195,43.40398333333333,43.988,0.3984757607695905,40.40338333333335,40.934,0.2854337817871432,36.579466666666654,36.988,0.2623967410573429,2448.0,191.27060661313837,2929.6,21.54,-2.014,1.101,-0.058,68.628,0.0330000000000012,1
4,0.0334835991558461,0.66,14.27643404667445,191.41,155.34,46.874946219750896,158.13,129.0,0.9303354813375868,11.102,2.219,9.358761999999947,9.443,9.260636166666664,9.342,7.831,3.01155025329881,18.876,10.236,0.0291704592494079,10.312,39.80391666666669,40.391,0.5353736630051458,44.33275,44.887,0.3727689166953666,41.310550000000006,41.777,0.2935792807195303,37.4279,37.781,0.2395705692006398,2440.6,191.25836911634175,2923.8,20.46,-1.0799999999999983,1.086,-0.0149999999999999,68.868,0.2399999999999948,1
5,0.0307314732209128,0.643,14.276070682144542,191.28,155.23,46.84425876169337,156.55,128.93,0.932602953353954,11.453,2.211,9.301159666666644,9.381,9.206877000000002,9.287,7.8395,3.004857476966869,18.96,10.177,0.0224471540410115,10.256,40.65944999999999,41.227,0.5104791177521536,45.17061666666665,45.687,0.3699696777161315,42.12411666666665,42.609,0.2663306274301633,38.21206666666665,38.586,0.2129950159890089,2437.8,191.5185712942411,2920.6,19.651,-0.809000000000001,1.083,-0.0030000000000001,68.972,0.1039999999999992,1
6,0.032888082776297,0.649,14.371118645959022,191.19,154.97,46.7893887096043,155.04,128.675,0.9157996183063396,10.312,2.172,9.233941833333333,9.302,9.14332016666673,9.208,7.817,3.0125156977745005,19.208,10.141,0.0176066433432485,10.2,41.46363333333333,42.062,0.5104826883854562,45.94723333333334,46.457,0.3421609476902551,42.88811666666665,43.203,0.2019496574007837,38.93209999999999,39.242,0.1943069125666565,2431.6,193.34185518544888,2921.6,19.339,-0.3120000000000011,1.11,0.0270000000000001,68.512,-0.4599999999999937,1
7,0.0379491184775132,0.669,14.387503982431117,191.17,154.91,46.80664120247162,159.09,128.72,0.917559658144189,10.398,2.164,9.194159166666768,9.26,9.105058166666646,9.172,7.802,3.0047145452526727,19.333,10.096,0.0188207748644874,10.156,42.215266666666665,42.734,0.4825752199790752,46.66523333333335,47.117,0.3235084347349116,43.51988333333331,43.875,0.159287937946165,39.55896666666667,39.828,0.1714004100490185,2425.8,192.12302669352223,2913.0,18.788,-0.5509999999999984,1.102,-0.008,68.566,0.054000000000002,1
8,0.0325617362354445,0.65,14.430290295924255,191.14,154.77,46.76966521659664,167.22,128.77,0.9143539161801052,10.789,2.141,9.144616166666712,9.206,9.057066833333351,9.119,7.792,3.013833580632836,19.577,10.038,0.0193071794581976,10.098,42.89198333333331,43.41,0.4555136974132325,47.339433333333325,47.789,0.3130519189444498,44.201249999999966,44.457,0.1775105272600349,40.08053333333334,40.402,0.1787013858668543,2421.6,193.52966557706847,2909.4,18.362,-0.4260000000000019,1.103,0.0009999999999998,68.697,0.1310000000000002,1
9,0.0318143404754366,0.653,14.415517657887966,191.16,154.77,46.75187690994249,162.14,128.49,0.9115543885159896,10.758,2.117,9.104831499999984,9.173,9.019264666666755,9.087,7.8,3.0106461327752654,19.432,9.996,0.0156770899448032,10.053,43.532833333333336,44.012,0.4566669285330603,47.98141666666667,48.422,0.3178963849777478,44.79713333333333,45.129,0.1748527192992079,40.61254999999999,40.918,0.1664479788432921,2417.4,192.79525118407025,2905.4,18.201,-0.1609999999999978,1.122,0.0190000000000001,68.854,0.1569999999999964,1
